,title,subtitle,link
11,MAKING THEIR MARC,Chelsea 'offer Colwill in player plus cash transfer for Cucurella',https://www.thesun.co.uk/sport/19385050/chelsea-transfer-marc-cucurella-man-city-brighton/
12,TELL OFF,Man Utd outcast Telles 'may leave this window with Sevilla among clubs interested',https://www.thesun.co.uk/sport/19385495/man-utd-outcast-alex-telles-leave-sevilla-interested/
13,SESK ON FIRE,Man Utd blow as RB Salzburg ‘demand at least £55m for Benjamin Sesko transfer',https://www.thesun.co.uk/sport/football/19384730/man-utd-rb-salzburg-benjamin-sesko-transfer/
14,GUNNER GET YA,Arsenal 'considering shock Werner move with Chelsea willing to let him leave',https://www.thesun.co.uk/sport/19384377/timo-werner-transfer-arsenal-chelsea/
15,RON WAY OUT,Ronaldo leaves Old Trafford BEFORE end of Vallecano draw after being subbed,https://www.thesun.co.uk/sport/football/19378599/man-utd-cristiano-ronaldo-leaves-old-trafford/
16,TEN OUT OF TEN,Man Utd to give Alejandro Garnacho a new contract after impressing Ten Hag,https://www.thesun.co.uk/sport/19383130/man-utd-alejandro-garnacho-contract-erik-ten-hag/
17,RON TIME,Ronaldo sends message to Utd fans after being subbed at half-time by Ten Hag,https://www.thesun.co.uk/sport/19381494/cristiano-ronaldo-man-utd-fans-return-transfer/
18,ENGLAND 2 GERMANY 1,Kelly stabs home extra-time winner as Lionesses bring football home,https://www.thesun.co.uk/sport/football/19378816/england-germany-chloe-kelly-winner-euro-final/
19,BRA-VO!,England hero Chloe Kelly swings top above her head as winner sends Wembley WILD,https://www.thesun.co.uk/sport/19379277/england-hero-chloe-kelly-celebrations-germany-winner/
20,'WORLD CLASS',England fans love Lionesses 's***housery' after wasting 11 minutes of final,https://www.thesun.co.uk/sport/football/19386022/england-fans-lionesses-wasting-time-euro-2022-final/
21,EM-OTIONAL,Chelsea boss Hayes chokes back tears after England Lionesses win Euro 2022,https://www.thesun.co.uk/sport/19381670/chelsea-emma-hayes-england-euro-2022/
22,'DAME JILL',BBC apologise for Jill Scott’s X-rated Euro blast after foul - but fans love it,https://www.thesun.co.uk/sport/football/19383140/bbc-apologise-england-jill-scott-euro-2022/
23,CROWD GLORY,England Lionesses’ historic win breaks European Championship attendance record,https://www.thesun.co.uk/sport/19382956/england-lionesses-euros-attendance-record-fans-wembley/
24,ROYAL PRAISE,The Queen congratulates 'inspirational' Lionesses on historic Euro win,https://www.thesun.co.uk/sport/19379622/queen-congratulates-lionesses-england-euro-win/
25,LION'S SHARE,England's Euro 2022 heroes watched by peak audience of staggering 17.4m on BBC,https://www.thesun.co.uk/sport/football/19383182/england-euro-audience-bbc-germany/
